Tenure,Iteration,Objective,Violations,Feasible
100,12,4,0,True
100,13,4,0,True
100,14,4,0,True
100,15,4,0,True
100,16,4,0,True
100,17,4,0,True
100,18,4,0,True
100,19,4,0,True
100,20,4,0,True
100,21,4,0,True
100,22,4,0,True
100,23,4,0,True
100,24,4,0,True
100,25,4,0,True
100,26,4,0,True
100,27,4,0,True
100,28,4,0,True
100,29,4,0,True
100,30,4,0,True
100,31,4,0,True
100,32,4,0,True
100,33,4,0,True
100,34,4,0,True
100,35,4,0,True
100,36,4,0,True
100,37,4,0,True
100,38,4,0,True
100,39,4,0,True
100,40,4,0,True
100,41,4,0,True
100,42,4,0,True
100,43,4,0,True
100,44,4,0,True
100,45,4,0,True
100,46,4,0,True
100,47,4,0,True
100,48,4,0,True
100,49,4,0,True
100,50,4,0,True
100,51,4,0,True
100,52,4,0,True
100,53,4,0,True
100,54,4,0,True
100,55,4,0,True
100,56,4,0,True
100,57,4,0,True
100,58,4,0,True
100,59,4,0,True
100,60,3,0,True
