Tenure,Status,Objective,Runtime,Iterations,BestViolationCount,ValidSchedule
5,FEASIBLE,17,1200.9097092151642,1750,0,True
10,FEASIBLE,17,1200.5126781463623,1807,0,True
25,FEASIBLE,17,1201.3952429294586,2091,0,True
30,FEASIBLE,17,1200.1082274913788,2302,0,True
50,FEASIBLE,17,1201.12242770195,1725,0,True
100,FEASIBLE,17,1200.0662772655487,2341,0,True
